,Name,Type,Campus setting,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate,Net Price **
1,Adrian College,"4-year, Private not-for-profit",Town: Distant,1828,1779,50,4,24520
2,Albion College,"4-year, Private not-for-profit",Town: Fringe,1475,1475,70,24,18532
3,Allen College,"4-year, Private not-for-profit",City: Small,656,339,100,NA,NA
4,Alma College,"4-year, Private not-for-profit",Town: Distant,1442,1442,67,NA,23180
5,Alverno College,"4-year, Private not-for-profit",City: Large,1744,1105,49,NA,18384
6,American Academy of Art,"4-year, Private not-for-profit",City: Large,205,205,53,27,25418
7,American Islamic College,"4-year, Private not-for-profit",City: Large,16,6,50,NA,NA
8,Anderson University,"4-year, Private not-for-profit",City: Small,1567,1311,60,33,22914
9,Andrews University,"4-year, Private not-for-profit",Town: Fringe,3390,1693,59,21,22291
10,Antioch College,"4-year, Private not-for-profit",Town: Fringe,95,95,78,12,22501
11,Aquinas College,"4-year, Private not-for-profit",City: Midsize,1600,1456,60,29,19613
12,Art Academy of Cincinnati,"4-year, Private not-for-profit",City: Large,219,212,48,NA,23858
13,Ashland University,"4-year, Private not-for-profit",Town: Fringe,5091,3653,65,24,19758
14,Augsburg University,"4-year, Private not-for-profit",City: Large,3425,2512,57,NA,25311
15,Augustana College,"4-year, Private not-for-profit",City: Small,2546,2546,71,NA,24706
16,Augustana University,"4-year, Private not-for-profit",City: Midsize,2113,1818,71,20,24481
17,Aultman College of Nursing and Health Sciences,"4-year, primarily associate's, Private not-for-profit",City: Small,305,305,100,NA,16456
18,Aurora University,"4-year, Private not-for-profit",Suburb: Large,6246,4104,54,NA,17906
19,Avila University,"4-year, Private not-for-profit",City: Large,1526,1153,55,8,17048
20,Baker College,"4-year, Private not-for-profit",Town: Distant,7606,7240,18,NA,14487
21,Baker University,"4-year, Private not-for-profit",Town: Fringe,2595,1672,64,21,23629
22,Baldwin Wallace University,"4-year, Private not-for-profit",Suburb: Large,3504,2964,65,NA,23832
23,Ball State University,"4-year, Public",City: Small,22443,16702,67,24,13533
24,Baptist Bible College,"4-year, Private not-for-profit",City: Midsize,228,215,33,18,18049
25,Barnes-Jewish College Goldfarb School of Nursing,"4-year, Private not-for-profit",City: Large,663,569,NA,NA,NA
26,Bellevue University,"4-year, Private not-for-profit",Suburb: Large,11637,8204,24,33,13261
27,Beloit College,"4-year, Private not-for-profit",City: Small,1143,1143,75,NA,24493
28,Bemidji State University,"4-year, Public",Town: Remote,4897,4490,48,35,14945
